image_path,device_type,defect_type,text_prompt
data\Laptop-damage-detection-testing.v1i.coco\99_jpeg_jpg.rf.fcd3b6835a7868127d3de0a6edf82b83.jpg,laptop,keyboard malfunction,"The keyboard is missing a few keys, specifically the letters ""a"", ""s"", and ""d""."
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.46dbff7900994df580d64707ce241a2b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155402_jpg.rf.78c2c4d46787ed82612ac2b22be253a4.jpg,laptop,keyboard malfunction,The keyboard is black.
data\Laptop-damage-detection-testing.v1i.coco\387622487_291734880373638_5775984471605830976_n_jpg.rf.2a3a76aff5dcb268f996b77ebb808b6d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370060857_232952403109249_2201671253730766584_n_jpg.rf.416ccdfbcecda701d11ed0808c76d07b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155411_jpg.rf.a68e365d0a2df1805d807978ea170dfb.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\7_jpg.rf.0b6517680c5b45cf4a868187fa421495.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.74a7436120597330a70b80a4e399a62f.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\600014337_jpg.rf.c600c64543c0dc596d123619449f1ab6.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\25_png_jpg.rf.27c58eeaa789b70524183890d89ebda6.jpg,laptop,audio issues,"The image is blurry, making it difficult to discern any specific details."
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-13-42-01_jpg.rf.52590f93155cc41b58225a672752ca4e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.2e49be40e3f8e259b418385af93efb6d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\110_jpeg_jpg.rf.fce60f0cdc6b43392bb42a6585cdafa6.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155411_jpg.rf.57eec26b6a8a3294336f6b8290cc6709.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\600014426_jpg.rf.f7d30f23fb3b3d33fd29423032b8374c.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160225-1-_jpg.rf.0421b43a63093e7098d19bef5f5cfa75.jpg,laptop,keyboard malfunction,The keyboard is black and has a few keys missing.
data\Laptop-damage-detection-testing.v1i.coco\20240112_C223013901-2-_jpg.rf.4935e4477856ce91d6a68950a2d3f225.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\20240910153107_bottom_jpg.rf.ef222887744d8bf827f61cc359e5bfc0.jpg,laptop,normal device,The image shows a laptop computer with a sticker on the back.
data\Laptop-damage-detection-testing.v1i.coco\75-nrzzpo3_jpg.rf.fae8b1846c50ab651d7897b121870eac.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160212-1-_jpg.rf.e4273b86587d55e8d8bdb111d7e14618.jpg,laptop,keyboard malfunction,The keyboard is black and has a button missing.
data\Laptop-damage-detection-testing.v1i.coco\29-0b6iedux6mb21_jpg.rf.0ffc2124d734942930016f427b378e16.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a piece of plastic covering the back of the laptop."
data\Laptop-damage-detection-testing.v1i.coco\46-b407fuwgtwy51_jpg.rf.449b29a39c5a78d1635cd92ee126b268.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\20240906132353_top_jpg.rf.840c68daad95251ddb9e6241550338ed.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\385498683_853287709530521_1400322349940815434_n_jpg.rf.70b9dc7af1501305928b9439f146edff.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387550465_345137534747423_2923349850042572787_n_jpg.rf.96b62de379685f17bbac9c7e23825f0b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370082498_699386798909721_2604580787779817296_n_jpg.rf.b8a82dc15079039aa7b281c18264b017.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160223-1-_jpg.rf.afef1d6c9d11dbad3339b1e6b1c212ff.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-57-27_jpg.rf.e2ef66b878551a77dbddf6c1c998e4b4.jpg,laptop,screen scratch,The screen is scratched.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.4a566aeeba81d4beb3ba3046bccdf7e1.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\79ee0cf77d319eeb96596f366cb84188_i-10_jpg.rf.b99e82bf1007b62f4162c1122d896daa.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\12_jpg.rf.a71ca0b94aff2303188f25b5813037ed.jpg,laptop,screen scratch,The screen of the laptop is cracked and has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\387525607_282712044579421_2280659367724447816_n_jpg.rf.522e9568a619700a0973b241f494e4e9.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\1_knopka_na_klave-1024x576_jpg.rf.0cd5d7e47cd5b979cab412e12d6c8191.jpg,laptop,keyboard malfunction,"The keyboard is missing a few keys, specifically the letters q, w, and e."
data\Laptop-damage-detection-testing.v1i.coco\387550465_345137534747423_2923349850042572787_n_jpg.rf.ce882ecd5aa08017041e0b67dcc2baf9.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370116014_265347126474136_4870941993653121884_n_jpg.rf.eb7a8012de0417de2d5d18c2e3d8306a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014368_jpg.rf.7ed16e26ba5d02f0f5f30bbb84ed65c6.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-41-59_jpg.rf.70b8726fcff7c829991e3e9e75bcbe6a.jpg,laptop,keyboard malfunction,"The keyboard is missing the letters ""e"" and ""c""."
data\Laptop-damage-detection-testing.v1i.coco\497_jpg.rf.6294c9f175e4f7a06069d78f32e18a09.jpg,laptop,normal device,The laptop is missing its keyboard.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-41-47_jpg.rf.94a61fd21c8a13ea3909a38a13ab79b6.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387622487_291734880373638_5775984471605830976_n_jpg.rf.42951ab4cc8457ff7bf5de8c47febc89.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906134724_top_jpg.rf.7c3e8de19fe76ac9ea7bdd004f334b4b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160225-1-_jpg.rf.41ba8c3c2f69ca1c6c1da82bc80623d2.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\370116014_265347126474136_4870941993653121884_n_jpg.rf.117e011f83f7734c22eb28810acc8adf.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155352-0-_jpg.rf.8b92ebab9870c7c4c00c07bc609ff8f1.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\30_jpg.rf.dbdbce0f8c3916fa673c30e7a1783877.jpg,laptop,keyboard malfunction,The keyboard is dirty.
data\Laptop-damage-detection-testing.v1i.coco\100_jpg.rf.c8d61e1133469ea3dcd9024146905a95.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\46_jpg.rf.3d96498d2f864a1dea349a154dea92fd.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370197575_280865421487294_7982785502145262537_n_jpg.rf.c3f0bbd172fcc82aa7d43574e05be2e8.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386884550_856628329109809_4430599761854262884_n_jpg.rf.e301d22500502a7e986edd7e8079c3e8.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a tear in the plastic."
data\Laptop-damage-detection-testing.v1i.coco\6100013157_jpg.rf.ffdab54d7315fbebd9d7c41d78ac823a.jpg,laptop,normal device,The laptop is open and has a black screen.
data\Laptop-damage-detection-testing.v1i.coco\387499955_638124278199813_8136866318153395863_n_jpg.rf.9fff29313fbdb509ddedfa201abbc4e5.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155342_jpg.rf.f732bcc2478d850782505f46381a246a.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\387588554_724350416221349_3031443269795842578_n_jpg.rf.02f05b7bc4e2a6f62513097633764ae0.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\-_57_jpg.rf.77f7911352df90475b51d988401b1e5d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153059_bottom_jpg.rf.82f60ea6c49493e17229314cc9ff3101.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153035_bottom_jpg.rf.cb0514f2cc91672fc9a77aba8cb3a529.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387536439_1981249195585520_8824663521566823273_n_jpg.rf.f12cc651da8d676bd35fc950c32d6574.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2800013419_jpg.rf.bd79f2ff9a3f9a4bddc7f57591c8d3de.jpg,laptop,screen scratch,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\7100014334_jpg.rf.707db97f9a76880f7fa26d75b4b37950.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155402_jpg.rf.de562d67b750a137c8ab94c67fab8662.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\387519397_1009230763456595_1080168407445218832_n_jpg.rf.dc842db1ee1cfbef30c72616a4782fa4.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153152_bottom_jpg.rf.cc32080cfc0063fe967e4d64b2dba9a7.jpg,laptop,normal device,The device is a dell computer.
data\Laptop-damage-detection-testing.v1i.coco\6700013805_jpg.rf.e17f5a7083d3aab144f0b46617ff334e.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-59-10_jpg.rf.f7f4d71299f69147518e38f82125a17f.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.542e7e83aba6ff51efd8de70c46b8f81.jpg,laptop,keyboard malfunction,"The keyboard is malfunctioning, with a key missing."
data\Laptop-damage-detection-testing.v1i.coco\600014328_jpg.rf.791db53aa8465792a242dfc9b4599885.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-27-22_jpg.rf.52a3bde72522dbfc372f2fb2c0306fe0.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370249993_347309641087068_309674323319470619_n_jpg.rf.02ddac708c714aebdbb17f6c8f0554e2.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014439_jpg.rf.78b41fdd987097a393095840bf76be4a.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\370130480_740339634591263_2767953956412768827_n_jpg.rf.a4383e9a56a10333d16d4b0298065820.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-13-47-36_jpg.rf.fa7980d04ec4f342cd9d3d3657c63cf8.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\386886175_1123892678989525_1858502656252888807_n_jpg.rf.3de0bc3506b1eb9ce5afc8186f6a7bd1.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906133448_top_jpg.rf.c5503816139453f966bb3a29435b31ec.jpg,laptop,normal device,The device is a computer.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-13-40-28_jpg.rf.7e07f036aa04d844cb7f09143671d898.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160213_jpg.rf.d442ccdf6fa311c64ce294814e909f20.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906134724_top_jpg.rf.89f893be1063d03efbf7da54008467a0.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240913123144_top_jpg.rf.c14df7c7bde4bcbf0595595c72bd77a3.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906135024_top_jpg.rf.3decde4a3f62ec13dcca0efdc53947f4.jpg,laptop,battery swelling,The image shows a laptop with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\42_jpg.rf.ad26f9af877ef2616b7cb899b034020a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\12-icjcbbufbpe11_jpg.rf.297aa17b9a0a9843eb887ae362965649.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\600014426_jpg.rf.2ee367d7b43fab6eecbe3595c818812d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\1800003390_png_jpg.rf.5b949c59cfbd0743982f0e73e9baf26d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014336_jpg.rf.9d59d6d027ee67f296466308cc8c980b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\15_jpg.rf.2a11f66d37d66e22c72bd90668f2548f.jpg,laptop,cracked screen,The screen is cracked and has a white background.
data\Laptop-damage-detection-testing.v1i.coco\481_jpg.rf.59dbc9ce9385065719a4ea5befa212c1.jpg,laptop,normal device,The laptop is open and has a black screen.
data\Laptop-damage-detection-testing.v1i.coco\6700013805_jpg.rf.18e6fa2df1f2d89b1f728c33450dcf90.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\385498683_853287709530521_1400322349940815434_n_jpg.rf.c17856b1de19189f8d226ed8851e35d1.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014452_jpg.rf.70980116c180e28ed0f4c95c3de5fc5f.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\20240910153139_bottom_jpg.rf.18c1f1d7cc9793de518d970174a4422b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-54-03_jpg.rf.91f37e927368a410a90b21c9ead5d667.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\478_jpg.rf.98bce8be10f9eab9db3e8e74963a4ce4.jpg,laptop,cracked screen,"The laptop's screen is cracked, which is a defect in the device."
data\Laptop-damage-detection-testing.v1i.coco\20240910152821_bottom_jpg.rf.df59f41e5ec2db21cffbacf9ff8bbe81.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014289_jpg.rf.efbb8ea215ceb7ffe995e68e5f91c790.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a visible crack."
data\Laptop-damage-detection-testing.v1i.coco\387472915_2934580083339345_5531479834033312923_n_jpg.rf.02cedeb3e9b98b93091736502efd1ac8.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370244757_339461181889105_482276015014448608_n_jpg.rf.3de0cfc604aeabbd30888d85a10a9e04.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-36-25_jpg.rf.d5e800da1f919df3fee8ed789ca76219.jpg,laptop,screen scratch,The screen has a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\7100014439_jpg.rf.8c76037b1b6e6f9462cc3437af9818ed.jpg,laptop,charging port issue,The charging port is broken.
data\Laptop-damage-detection-testing.v1i.coco\386884550_856628329109809_4430599761854262884_n_jpg.rf.4fc8c45257f4d3e8815ff42c43c23c24.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014426_jpg.rf.971be8dffed4363bb884c90904633c07.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\386884550_856628329109809_4430599761854262884_n_jpg.rf.54a2b2d483759f5a579ddbf9a9e62fb5.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\387530029_315099951165164_3928474233643706499_n_jpg.rf.47092292854cd6cfa73e34e074e4fb4b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\28-119985ibb652c4064ad6b2c-2-_jpg.rf.44c60f4380b664654afa8a623b81b6e9.jpg,laptop,back panel damaging,"The back panel of the keyboard is damaged, with a cracked and broken part."
data\Laptop-damage-detection-testing.v1i.coco\369_jpg.rf.1ab07bbaf6b3cb3f0dec1e571af690f1.jpg,laptop,charging port issue,"The laptop's charging port is broken, causing the laptop to not charge."
data\Laptop-damage-detection-testing.v1i.coco\7100014404_jpg.rf.f34c4b9524c308c62b1ac230dcf31382.jpg,laptop,battery swelling,The image shows a black Sony phone with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\489_jpg.rf.be5bca51a32320c990fceb89381da8df.jpg,laptop,display flickering,The image shows a flickering display on a device.
data\Laptop-damage-detection-testing.v1i.coco\20240910153051_bottom_jpg.rf.025a8013d475cbb14ced377711891004.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370060857_232952403109249_2201671253730766584_n_jpg.rf.6d424163ed071ca5173a5705165626a9.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-16-27-01_jpg.rf.4224f881b627255c1e09542172cdf222.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370240527_1071727890669404_3111701067515993195_n_jpg.rf.50224e033e4e13675d9c759866ae6acf.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155352-0-_jpg.rf.67acdc99c906da6bd611b9d8b241f923.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\20220907_160223-1-_jpg.rf.72ce318bf4cc801756bf22ba2b6d66b5.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\99_jpeg_jpg.rf.fe5c67c0a0f9ca8051e223622b6b4cb2.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\20240910153139_bottom_jpg.rf.0789d626d0d0fffd6d64bcb8787b4c87.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153051_bottom_jpg.rf.37e77967d860b99ef3470fbe77bc383b.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014339_jpg.rf.3cd7b8cf8ad1c1534073631a02f75727.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\110_jpeg_jpg.rf.6754f3414555019ae4e31e6ac4f1ea6a.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370262362_811861507610740_5903580242507620236_n_jpg.rf.2f8f3dfc6430fed15158b6688fc3e3b9.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a visible crack."
data\Laptop-damage-detection-testing.v1i.coco\387588554_724350416221349_3031443269795842578_n_jpg.rf.f265ffae66487487f872c619ddd6eea0.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-38-21_jpg.rf.b05b373b1fde07e01477220caa9e4f45.jpg,laptop,back panel damaging,The back panel is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240906132137_top_jpg.rf.8820f3cb0da924b1817a7694528ff461.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\902e0d8552f23fb35be5e45561852f84_i-35_jpg.rf.ad64fbcc728cd43ca40294e22b3905fb.jpg,laptop,cracked screen,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\484_jpg.rf.d76dcc31b7d586bb38ed9f8b0290cc04.jpg,laptop,screen scratch,The screen is scratched.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155359-0-_jpg.rf.26d7b59d5d1df7f8432e9a6c45169892.jpg,laptop,display flickering,The image shows a display of a computer with a flickering screen.
data\Laptop-damage-detection-testing.v1i.coco\387505318_687512386648113_1787845701610241914_n_jpg.rf.c1a194c7f5c1bd4fd45e29ecf5f25d74.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014404_jpg.rf.eff78c9d751da94be3683cd6df33fa09.jpg,laptop,battery swelling,The image shows a black Sony phone with a swollen battery.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-18-38-40_jpg.rf.f0e583aa6c632ea7fc15f5bf54ed6a33.jpg,laptop,screen scratch,The image shows a black screen with a scratch on it.
data\Laptop-damage-detection-testing.v1i.coco\25_png_jpg.rf.024ea1e07e5e7b4303d044105880e821.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.0295abec545fc9ebbd86037c1f61ecd2.jpg,laptop,normal device,The device is a laptop.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155343-0-_jpg.rf.51020614362038888e1bb1c344a4d881.jpg,laptop,keyboard malfunction,The keyboard is black.
data\Laptop-damage-detection-testing.v1i.coco\370293564_336508052207587_1766574074299814173_n_jpg.rf.0f453e063e68d42d93dab33ab9f8eefe.jpg,laptop,back panel damaging,"The back panel of the laptop is damaged, with a tear in the plastic."
data\Laptop-damage-detection-testing.v1i.coco\20240910153018_bottom_jpg.rf.2348b0d0673832d8acce2ea5e69eb095.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\4d0434u-960_jpg.rf.dcffb1428754ac9e8ae548f6f27dc4df.jpg,laptop,back panel damaging,The back panel is damaged with a hole in it.
data\Laptop-damage-detection-testing.v1i.coco\6700013801_jpg.rf.57e8113d2bbba3534afa1ae2033f9a53.jpg,laptop,keyboard malfunction,The keyboard is broken.
data\Laptop-damage-detection-testing.v1i.coco\387459687_851659923067403_3822777885389831890_n_jpg.rf.aa247cfc2777c1d2f190dd86787f641d.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-17-59-10_jpg.rf.06468afe0b9bf10aa0f82e3d8ed379a8.jpg,laptop,back panel damaging,The back panel of the computer is damaged.
data\Laptop-damage-detection-testing.v1i.coco\20240910153128_bottom_jpg.rf.cec28a30e1e6660399d1fb6b982a9de0.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\370294826_1209137070477863_5638043757013397150_n_jpg.rf.3458e1dda4c5641f3aab3825a8337b64.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\10_jpg.rf.02e3e58aa533c0dccfa472b85d623dce.jpg,laptop,screen scratch,The screen is cracked.
data\Laptop-damage-detection-testing.v1i.coco\20220907_155359-1-_jpg.rf.3062aa9a9c28fcb8e6834189b5087845.jpg,laptop,keyboard malfunction,The keyboard is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\370293564_336508052207587_1766574074299814173_n_jpg.rf.3dade7bebb18c2de6c127817128e5541.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\101_jpeg_jpg.rf.05720d750f7d1ddad8acd59a6819b362.jpg,laptop,keyboard malfunction,The keyboard is missing some keys.
data\Laptop-damage-detection-testing.v1i.coco\370262362_811861507610740_5903580242507620236_n_jpg.rf.4e7eb15cce84acd19bbce1effa99dd40.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\600014386_jpg.rf.336e3cb56e22bb86c16705e188189794.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\7100014439_jpg.rf.98c0d173daa4498312381514af97e1cd.jpg,laptop,back panel damaging,The back panel of the device is damaged.
data\Laptop-damage-detection-testing.v1i.coco\2024-01-15-14-32-34_jpg.rf.aa8f8171fe5987c61f7c00bc58043a02.jpg,laptop,charging port issue,The charging port is missing.
data\Laptop-damage-detection-testing.v1i.coco\6500000197_jpg.rf.b9bd4c15f972c4fd6ea58a55c47725d2.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
data\Laptop-damage-detection-testing.v1i.coco\1400013370_png_jpg.rf.e058de223b295a60cdfe8d0df7948bca.jpg,laptop,cracked screen,The screen is cracked and has a black background.
data\Laptop-damage-detection-testing.v1i.coco\20240913123033_top_jpg.rf.5e3a0ba1092cd45f7019bd20b0f02765.jpg,laptop,normal device,The laptop is missing a key.
data\Laptop-damage-detection-testing.v1i.coco\97_jpeg_jpg.rf.060ebdbbba35b7102749b2b7d702dc3a.jpg,laptop,battery swelling,"The image shows a laptop computer with a swollen battery. The swollen battery is located on the right side of the laptop. The laptop is open, and the swollen battery is clearly visible."
data\Laptop-damage-detection-testing.v1i.coco\370292903_1394141611482903_357238308047406006_n_jpg.rf.0b7fde0829a7f567ef4fbf041dba8215.jpg,laptop,back panel damaging,The back panel of the laptop is damaged.
